Loading data...
Dataset size: 25979, Train DL size: 20784, Test DL size: 5195
Finished loading data!
Training model...
Epoch [81/1000], Loss: 0.8285, Train error: 0.2818, Test error: 0.2735
Epoch [82/1000], Loss: 0.8502, Train error: 0.2816, Test error: 0.2730
Epoch [83/1000], Loss: 0.8462, Train error: 0.2816, Test error: 0.2730
Epoch [84/1000], Loss: 0.8422, Train error: 0.2814, Test error: 0.2728
Epoch [85/1000], Loss: 0.8114, Train error: 0.2811, Test error: 0.2726
Epoch [86/1000], Loss: 0.8408, Train error: 0.2809, Test error: 0.2724
Epoch [87/1000], Loss: 0.7839, Train error: 0.2809, Test error: 0.2724
Epoch [88/1000], Loss: 0.7737, Train error: 0.2807, Test error: 0.2724
Epoch [89/1000], Loss: 0.8201, Train error: 0.2806, Test error: 0.2724
Epoch [90/1000], Loss: 0.7956, Train error: 0.2805, Test error: 0.2726
Epoch [91/1000], Loss: 0.7821, Train error: 0.2804, Test error: 0.2726
Epoch [92/1000], Loss: 0.8054, Train error: 0.2802, Test error: 0.2726
Epoch [93/1000], Loss: 0.7886, Train error: 0.2800, Test error: 0.2724
Epoch [94/1000], Loss: 0.8244, Train error: 0.2800, Test error: 0.2726
Epoch [95/1000], Loss: 0.8228, Train error: 0.2800, Test error: 0.2722
Epoch [96/1000], Loss: 0.7529, Train error: 0.2800, Test error: 0.2718
Epoch [97/1000], Loss: 0.8212, Train error: 0.2800, Test error: 0.2712
Epoch [98/1000], Loss: 0.8119, Train error: 0.2800, Test error: 0.2710
Epoch [99/1000], Loss: 0.8272, Train error: 0.2801, Test error: 0.2708
Epoch [100/1000], Loss: 0.8683, Train error: 0.2800, Test error: 0.2705
Epoch [101/1000], Loss: 0.7927, Train error: 0.2799, Test error: 0.2703
Epoch [102/1000], Loss: 0.8103, Train error: 0.2799, Test error: 0.2705
Epoch [103/1000], Loss: 0.8188, Train error: 0.2798, Test error: 0.2706
Epoch [104/1000], Loss: 0.8504, Train error: 0.2798, Test error: 0.2706
Epoch [105/1000], Loss: 0.8252, Train error: 0.2799, Test error: 0.2705
Epoch [106/1000], Loss: 0.8045, Train error: 0.2798, Test error: 0.2706
Epoch [107/1000], Loss: 0.8323, Train error: 0.2798, Test error: 0.2706
Epoch [108/1000], Loss: 0.8768, Train error: 0.2798, Test error: 0.2706
Epoch [109/1000], Loss: 0.8783, Train error: 0.2797, Test error: 0.2706
Epoch [110/1000], Loss: 0.8139, Train error: 0.2795, Test error: 0.2706
Epoch [111/1000], Loss: 0.8203, Train error: 0.2794, Test error: 0.2708
Epoch [112/1000], Loss: 0.7965, Train error: 0.2793, Test error: 0.2708
Epoch [113/1000], Loss: 0.8311, Train error: 0.2792, Test error: 0.2706
Epoch [114/1000], Loss: 0.8153, Train error: 0.2792, Test error: 0.2705
Epoch [115/1000], Loss: 0.8298, Train error: 0.2793, Test error: 0.2708
Epoch [116/1000], Loss: 0.8182, Train error: 0.2793, Test error: 0.2705
Epoch [117/1000], Loss: 0.7813, Train error: 0.2792, Test error: 0.2703
Epoch [118/1000], Loss: 0.8474, Train error: 0.2791, Test error: 0.2703
Epoch [119/1000], Loss: 0.8161, Train error: 0.2792, Test error: 0.2701
Epoch [120/1000], Loss: 0.8049, Train error: 0.2792, Test error: 0.2703
Epoch [121/1000], Loss: 0.7553, Train error: 0.2792, Test error: 0.2701
Epoch [122/1000], Loss: 0.8144, Train error: 0.2792, Test error: 0.2701
Epoch [123/1000], Loss: 0.8163, Train error: 0.2793, Test error: 0.2701
Epoch [124/1000], Loss: 0.7946, Train error: 0.2793, Test error: 0.2699
Epoch [125/1000], Loss: 0.8035, Train error: 0.2793, Test error: 0.2699
Epoch [126/1000], Loss: 0.8424, Train error: 0.2794, Test error: 0.2699
Epoch [127/1000], Loss: 0.7561, Train error: 0.2794, Test error: 0.2699
Epoch [128/1000], Loss: 0.7712, Train error: 0.2793, Test error: 0.2699
Epoch [129/1000], Loss: 0.7477, Train error: 0.2792, Test error: 0.2699
Epoch [130/1000], Loss: 0.7961, Train error: 0.2792, Test error: 0.2697
Epoch [131/1000], Loss: 0.7800, Train error: 0.2793, Test error: 0.2697
Epoch [132/1000], Loss: 0.8142, Train error: 0.2792, Test error: 0.2693
Epoch [133/1000], Loss: 0.8163, Train error: 0.2792, Test error: 0.2691
Epoch [134/1000], Loss: 0.7799, Train error: 0.2793, Test error: 0.2691
Epoch [135/1000], Loss: 0.8315, Train error: 0.2792, Test error: 0.2689
Epoch [136/1000], Loss: 0.8063, Train error: 0.2789, Test error: 0.2691
Epoch [137/1000], Loss: 0.8386, Train error: 0.2790, Test error: 0.2691
Epoch [138/1000], Loss: 0.7721, Train error: 0.2789, Test error: 0.2691
Epoch [139/1000], Loss: 0.8224, Train error: 0.2789, Test error: 0.2691
Epoch [140/1000], Loss: 0.7948, Train error: 0.2788, Test error: 0.2691
Epoch [141/1000], Loss: 0.8160, Train error: 0.2787, Test error: 0.2689
Epoch [142/1000], Loss: 0.8223, Train error: 0.2787, Test error: 0.2691
Epoch [143/1000], Loss: 0.8054, Train error: 0.2787, Test error: 0.2691
Epoch [144/1000], Loss: 0.7961, Train error: 0.2787, Test error: 0.2691
Epoch [145/1000], Loss: 0.8294, Train error: 0.2788, Test error: 0.2687
Epoch [146/1000], Loss: 0.7797, Train error: 0.2788, Test error: 0.2685
Epoch [147/1000], Loss: 0.7982, Train error: 0.2788, Test error: 0.2685
Epoch [148/1000], Loss: 0.7418, Train error: 0.2788, Test error: 0.2689
Epoch [149/1000], Loss: 0.7672, Train error: 0.2788, Test error: 0.2689
Epoch [150/1000], Loss: 0.8144, Train error: 0.2789, Test error: 0.2689
Epoch [151/1000], Loss: 0.8183, Train error: 0.2787, Test error: 0.2689
Epoch [152/1000], Loss: 0.8017, Train error: 0.2788, Test error: 0.2689
Epoch [153/1000], Loss: 0.7806, Train error: 0.2787, Test error: 0.2689
Epoch [154/1000], Loss: 0.8533, Train error: 0.2787, Test error: 0.2691
Epoch [155/1000], Loss: 0.8554, Train error: 0.2787, Test error: 0.2691
Epoch [156/1000], Loss: 0.7844, Train error: 0.2787, Test error: 0.2691
Epoch [157/1000], Loss: 0.7682, Train error: 0.2787, Test error: 0.2691
Epoch [158/1000], Loss: 0.7562, Train error: 0.2788, Test error: 0.2687
Epoch [159/1000], Loss: 0.8297, Train error: 0.2789, Test error: 0.2689
Epoch [160/1000], Loss: 0.7949, Train error: 0.2788, Test error: 0.2689
Epoch [161/1000], Loss: 0.7734, Train error: 0.2788, Test error: 0.2689
Epoch [162/1000], Loss: 0.8088, Train error: 0.2788, Test error: 0.2687
Epoch [163/1000], Loss: 0.7999, Train error: 0.2788, Test error: 0.2687
Epoch [164/1000], Loss: 0.8411, Train error: 0.2787, Test error: 0.2687
Epoch [165/1000], Loss: 0.7745, Train error: 0.2787, Test error: 0.2687
Epoch [166/1000], Loss: 0.7990, Train error: 0.2786, Test error: 0.2687
Epoch [167/1000], Loss: 0.7521, Train error: 0.2786, Test error: 0.2687
Epoch [168/1000], Loss: 0.7786, Train error: 0.2788, Test error: 0.2687
Epoch [169/1000], Loss: 0.7815, Train error: 0.2789, Test error: 0.2687
Epoch [170/1000], Loss: 0.8287, Train error: 0.2788, Test error: 0.2687
Epoch [171/1000], Loss: 0.7619, Train error: 0.2789, Test error: 0.2691
Epoch [172/1000], Loss: 0.7753, Train error: 0.2789, Test error: 0.2689
Epoch [173/1000], Loss: 0.7721, Train error: 0.2789, Test error: 0.2693
Epoch [174/1000], Loss: 0.8312, Train error: 0.2789, Test error: 0.2693
Epoch [175/1000], Loss: 0.8013, Train error: 0.2788, Test error: 0.2693
Epoch [176/1000], Loss: 0.8235, Train error: 0.2788, Test error: 0.2693
Epoch [177/1000], Loss: 0.8005, Train error: 0.2787, Test error: 0.2697
Epoch [178/1000], Loss: 0.7612, Train error: 0.2786, Test error: 0.2699
Epoch [179/1000], Loss: 0.8163, Train error: 0.2786, Test error: 0.2701
Epoch [180/1000], Loss: 0.7859, Train error: 0.2786, Test error: 0.2699
Epoch [181/1000], Loss: 0.7957, Train error: 0.2787, Test error: 0.2699
Epoch [182/1000], Loss: 0.8450, Train error: 0.2786, Test error: 0.2699
Epoch [183/1000], Loss: 0.7851, Train error: 0.2788, Test error: 0.2697
Epoch [184/1000], Loss: 0.8190, Train error: 0.2787, Test error: 0.2695
Epoch [185/1000], Loss: 0.8213, Train error: 0.2786, Test error: 0.2695
Epoch [186/1000], Loss: 0.7971, Train error: 0.2787, Test error: 0.2695
Epoch [187/1000], Loss: 0.8061, Train error: 0.2786, Test error: 0.2695
Epoch [188/1000], Loss: 0.7334, Train error: 0.2786, Test error: 0.2693
Epoch [189/1000], Loss: 0.8061, Train error: 0.2787, Test error: 0.2693
