PS betting difference,BW betting difference,BS betting difference,WH betting difference,SJ betting difference,B365 betting difference,VC betting difference,GB betting difference,LB betting difference,IW betting difference,result
nan,0.3333333333333333,0.3399394439856868,0.35728841190055705,0.2763157894736842,0.3780346820809249,0.38383838383838387,0.3117977528089888,0.2888888888888889,0.25482625482625476,0
nan,0.3023909985935303,0.24578243164630598,0.26867030965391614,0.2496626180836708,0.2350427350427351,0.1923076923076923,0.2738738738738738,0.24060150375939848,0.24060150375939848,0
nan,0.024509803921568596,0.07114624505928857,-0.016666666666666663,-0.019771863117870714,0.056531703590527116,0.04817342432757926,0.0,0.0,-0.050167224080267636,-1
nan,0.5672268907563025,0.5405982905982906,0.5277777777777778,0.5611111111111111,0.5611111111111111,0.5358090185676393,0.4848484848484848,0.5405982905982906,0.5476190476190477,1
nan,-0.425,-0.3882760794201072,-0.350140056022409,-0.3558124598587027,-0.40606060606060607,-0.38383838383838387,-0.38383838383838387,-0.33139534883720934,-0.3382352941176471,-1
nan,-0.39987503905029675,nan,-0.350140056022409,-0.4169842133913991,-0.3882760794201072,-0.35835023664638266,-0.36601307189542487,-0.4172839506172839,-0.28528528528528535,0
nan,0.1703445605884631,0.15360983102918585,0.26867030965391614,0.24578243164630598,0.17316017316017313,0.14285714285714285,0.2738738738738738,0.26867030965391614,0.25482625482625476,0
nan,-0.024509803921568596,-0.10732323232323232,-0.07407407407407407,-0.032051282051282104,-0.14204545454545453,-0.08730158730158727,-0.08730158730158727,0.0,0.0,-1
nan,0.06441223832528187,0.08730158730158727,0.09090909090909088,0.13196480938416422,0.09722222222222221,0.08730158730158727,0.09740259740259738,0.08080808080808077,0.14285714285714285,1
nan,0.7000000000000001,0.6640826873385013,0.5978835978835979,0.6874015748031496,0.6639676113360323,0.6515837104072397,0.7000000000000001,0.7000000000000001,0.6442307692307692,1
nan,0.7000000000000001,0.6888888888888889,0.6947368421052632,0.6874015748031496,0.6639676113360323,0.6636029411764706,0.7000000000000001,0.6640826873385013,0.6442307692307692,-1
nan,-0.032051282051282104,-0.038488677913913694,-0.032051282051282104,-0.015384615384615441,-0.015384615384615441,-0.057424118129614454,-0.015384615384615441,0.0,0.0,-1
nan,0.27738264580369837,0.28329019269485184,0.2888888888888889,0.32026143790849676,0.27356020942408377,0.20588235294117646,0.29054054054054046,0.2888888888888889,0.2923976608187135,0
nan,-0.08080808080808077,-0.07114624505928857,-0.08080808080808077,-0.06302521008403361,-0.07534048101999419,-0.07114624505928857,-0.06189555125725338,-0.03555268261150618,-0.034782608695652195,0
nan,0.3214285714285714,0.35728841190055705,0.350140056022409,0.3777089783281734,0.36601307189542487,0.35835023664638266,0.3361344537815126,0.3765801729873587,0.350140056022409,-1
nan,0.055161544523246675,0.07114624505928857,0.09740259740259738,0.08756038647343001,0.09219858156028371,0.10971786833855796,0.0839054157131961,0.09740259740259738,0.09740259740259738,-1
nan,-0.4490828589500316,-0.5,-0.45468509984639016,-0.42680776014109345,-0.470276008492569,-0.4633431085043988,-0.43452380952380953,-0.4848484848484848,-0.4076086956521739,-1
nan,-0.36267995570321154,-0.28329019269485184,-0.3214285714285714,-0.32026143790849676,-0.29644808743169393,-0.2485380116959064,-0.31165311653116534,-0.3280346820809249,-0.28528528528528535,-1
nan,0.6888888888888889,0.6515837104072397,0.6515837104072397,0.6407685881370091,0.6176470588235293,0.6636029411764706,0.6358974358974359,0.5924369747899159,0.6442307692307692,-1
nan,0.08730158730158727,0.06441223832528187,0.050167224080267636,0.05303030303030304,0.07183908045977011,0.04817342432757926,0.07114624505928857,0.0,0.09740259740259738,0
nan,-0.16849816849816845,-0.15360983102918585,-0.14285714285714285,-0.17316017316017313,-0.13194444444444442,-0.1923076923076923,-0.14253563390847712,-0.09090909090909088,-0.15360983102918585,0
nan,0.26656793780081445,0.36601307189542487,0.2777777777777778,0.30524642289348164,0.34048168921148136,0.341543513957307,0.3174603174603175,0.3280346820809249,0.3214285714285714,1
nan,0.5857487922705316,0.5924369747899159,0.5714285714285714,0.5714285714285714,0.5892857142857143,0.6074074074074074,0.5714285714285714,0.6268796992481203,0.5476190476190477,0
nan,0.29914529914529914,0.3055555555555556,0.21862348178137647,0.29644808743169393,0.30835284933645585,0.3055555555555556,0.29054054054054046,0.3280346820809249,0.25482625482625476,-1
nan,0.21870286576168935,0.19696969696969696,0.15447154471544722,0.20209059233449483,0.2222222222222222,0.1923076923076923,0.2271062271062272,0.22944256236526023,0.1774193548387097,0
nan,-0.00816326530612238,0.0,-0.016666666666666663,0.0,-0.014245014245014231,0.032051282051282104,0.0,0.0,0.0,1
nan,-0.21870286576168935,-0.23784592370979807,-0.20512820512820518,-0.2350427350427351,-0.21002710027100274,-0.2738738738738738,-0.2350427350427351,-0.2888888888888889,-0.31501831501831495,-1
nan,0.12121212121212122,0.10971786833855796,0.13178294573643412,0.1620859760394644,0.08995502248875564,0.08730158730158727,0.16369047619047616,0.09090909090909088,0.1875,0
nan,0.7130081300813008,0.6888888888888889,0.6888888888888889,0.6874015748031496,0.7000000000000001,0.6888888888888889,0.6697545159796201,0.7000000000000001,0.6442307692307692,0
nan,0.16369047619047616,0.19696969696969696,0.24060150375939848,0.18207282913165262,0.2142857142857143,0.15360983102918585,0.2142857142857143,0.1875,0.1875,0
nan,-0.20588235294117646,-0.15360983102918585,-0.1875,-0.19047619047619047,-0.16849816849816845,-0.16369047619047616,-0.16369047619047616,-0.14285714285714285,-0.09740259740259738,0
