away_possession,home_possession,home_shots_on_goal,away_shots_on_goal,result
45,55,2.0,5.0,0
,,7.0,2.0,-1
,,4.0,1.0,1
52,48,10.0,7.0,0
48,52,4.0,1.0,-1
50,50,5.0,1.0,0
57,43,4.0,4.0,1
50,50,6.0,11.0,1
41,59,4.0,10.0,-1
61,39,10.0,4.0,1
56,44,12.0,1.0,0
54,46,11.0,13.0,1
50,50,2.0,9.0,0
44,56,9.0,3.0,1
48,52,2.0,6.0,1
47,53,6.0,3.0,1
53,47,6.0,4.0,1
,,7.0,4.0,1
52,48,7.0,8.0,1
57,43,7.0,10.0,1
48,52,6.0,10.0,-1
49,51,5.0,4.0,1
48,52,2.0,9.0,-1
45,55,7.0,4.0,1
61,39,12.0,5.0,-1
58,42,1.0,1.0,0
60,40,7.0,7.0,1
50,50,7.0,4.0,-1
60,40,9.0,5.0,1
47,53,6.0,3.0,0
49,51,9.0,4.0,1
47,53,6.0,9.0,-1
50,50,2.0,4.0,0
52,48,9.0,5.0,0
41,59,3.0,1.0,-1
,,10.0,4.0,1
52,48,13.0,0.0,0
50,50,5.0,2.0,1
52,48,18.0,5.0,1
50,50,7.0,9.0,0
52,48,18.0,6.0,0
57,43,9.0,12.0,1
53,47,13.0,1.0,1
57,43,2.0,4.0,1
48,52,6.0,6.0,-1
49,51,10.0,6.0,0
53,47,12.0,2.0,1
54,46,11.0,6.0,1
,,6.0,11.0,-1
52,48,5.0,7.0,-1
52,48,7.0,6.0,0
54,46,8.0,11.0,1
57,43,5.0,4.0,1
48,52,5.0,6.0,0
49,51,6.0,4.0,1
46,54,2.0,7.0,-1
57,43,11.0,4.0,1
46,54,6.0,6.0,-1
55,45,13.0,7.0,1
55,45,6.0,5.0,1
44,56,8.0,3.0,-1
49,51,6.0,8.0,1
48,52,5.0,6.0,-1
47,53,5.0,2.0,-1
55,45,13.0,2.0,0
56,44,4.0,2.0,1
49,51,6.0,5.0,1
44,56,9.0,5.0,-1
49,51,2.0,7.0,-1
51,49,6.0,0.0,0
57,43,7.0,4.0,1
55,45,4.0,4.0,1
57,43,8.0,5.0,1
45,55,2.0,2.0,0
50,50,6.0,6.0,1
,,4.0,0.0,-1
50,50,3.0,10.0,0
51,49,9.0,4.0,1
63,37,6.0,6.0,1
,,6.0,6.0,0
52,48,4.0,4.0,-1
51,49,8.0,9.0,0
41,59,7.0,7.0,-1
,,2.0,8.0,1
55,45,6.0,3.0,1
57,43,11.0,5.0,1
,,9.0,1.0,1
54,46,2.0,3.0,1
44,56,4.0,6.0,-1
54,46,7.0,4.0,1
57,43,7.0,3.0,1
59,41,16.0,0.0,1
49,51,4.0,6.0,0
52,48,8.0,12.0,-1
52,48,9.0,4.0,-1
49,51,9.0,3.0,1
,,10.0,4.0,1
54,46,14.0,9.0,-1
,,3.0,3.0,-1
48,52,3.0,5.0,-1
,,3.0,5.0,-1
64,36,11.0,5.0,1
,,5.0,12.0,1
,,12.0,1.0,1
,,5.0,3.0,-1
,,9.0,3.0,0
64,36,13.0,2.0,0
51,49,11.0,12.0,1
,,7.0,5.0,0
59,41,4.0,9.0,1
,,5.0,2.0,1
47,53,2.0,5.0,1
43,57,7.0,5.0,-1
49,51,7.0,4.0,-1
46,54,4.0,7.0,0
50,50,16.0,8.0,0
79,21,19.0,5.0,1
62,38,12.0,3.0,-1
,,7.0,2.0,1
49,51,2.0,8.0,-1
,,10.0,9.0,-1
54,46,1.0,6.0,-1
58,42,7.0,9.0,-1
,,5.0,7.0,1
42,58,6.0,13.0,-1
51,49,4.0,8.0,1
39,61,5.0,6.0,0
,,15.0,4.0,-1
50,50,5.0,6.0,-1
35,65,3.0,9.0,0
50,50,2.0,6.0,-1
39,61,4.0,8.0,-1
51,49,6.0,5.0,1
57,43,11.0,3.0,1
55,45,11.0,2.0,-1
49,51,15.0,2.0,1
78,22,10.0,2.0,1
61,39,11.0,4.0,1
60,40,8.0,3.0,1
58,42,6.0,3.0,0
40,60,4.0,8.0,-1
40,60,2.0,10.0,0
49,51,10.0,7.0,0
53,47,5.0,1.0,0
46,54,3.0,7.0,1
46,54,3.0,5.0,1
59,41,3.0,6.0,1
,,7.0,2.0,1
39,61,6.0,10.0,-1
57,43,10.0,10.0,0
57,43,8.0,6.0,1
52,48,2.0,1.0,0
47,53,14.0,6.0,-1
54,46,11.0,5.0,0
46,54,6.0,4.0,-1
70,30,6.0,2.0,-1
55,45,18.0,3.0,1
57,43,9.0,3.0,1
42,58,4.0,8.0,-1
45,55,5.0,4.0,-1
48,52,10.0,9.0,-1
47,53,8.0,3.0,-1
43,57,4.0,9.0,-1
50,50,4.0,3.0,-1
52,48,4.0,10.0,1
50,50,13.0,3.0,1
50,50,8.0,5.0,-1
65,35,14.0,4.0,1
46,54,4.0,9.0,1
47,53,11.0,6.0,1
67,33,10.0,3.0,-1
50,50,6.0,6.0,0
55,45,4.0,6.0,0
53,47,2.0,3.0,0
49,51,6.0,7.0,1
49,51,8.0,2.0,0
54,46,8.0,4.0,1
65,35,9.0,2.0,1
51,49,2.0,4.0,1
46,54,3.0,6.0,0
60,40,4.0,4.0,1
48,52,6.0,15.0,-1
43,57,5.0,8.0,0
56,44,8.0,6.0,1
52,48,4.0,5.0,0
50,50,5.0,6.0,0
57,43,13.0,6.0,0
53,47,3.0,3.0,1
40,60,3.0,8.0,-1
54,46,8.0,4.0,-1
51,49,4.0,8.0,1
,,7.0,1.0,0
63,37,15.0,0.0,0
60,40,8.0,7.0,1
60,40,5.0,2.0,1
52,48,6.0,8.0,1
45,55,1.0,5.0,1
43,57,1.0,5.0,1
53,47,3.0,10.0,1
41,59,3.0,5.0,0
70,30,12.0,4.0,1
55,45,6.0,8.0,0
51,49,7.0,3.0,0
67,33,7.0,6.0,1
58,42,7.0,4.0,1
41,59,7.0,8.0,-1
46,54,11.0,4.0,-1
50,50,3.0,9.0,1
53,47,3.0,7.0,-1
61,39,6.0,2.0,0
50,50,10.0,2.0,0
52,48,7.0,8.0,-1
,,5.0,5.0,0
49,51,2.0,18.0,0
55,45,9.0,4.0,-1
49,51,8.0,0.0,1
48,52,2.0,7.0,1
41,59,6.0,3.0,-1
46,54,7.0,10.0,-1
55,45,7.0,8.0,1
53,47,8.0,6.0,1
45,55,3.0,5.0,1
48,52,5.0,8.0,0
43,57,3.0,11.0,0
52,48,6.0,2.0,1
61,39,7.0,4.0,1
57,43,10.0,4.0,-1
51,49,6.0,7.0,0
50,50,9.0,4.0,0
60,40,17.0,1.0,-1
47,53,4.0,4.0,-1
47,53,8.0,9.0,0
,,11.0,6.0,0
37,63,8.0,4.0,0
33,67,7.0,6.0,0
,,10.0,8.0,1
50,50,3.0,4.0,1
48,52,7.0,2.0,-1
50,50,5.0,4.0,1
63,37,11.0,1.0,1
53,47,4.0,3.0,1
49,51,3.0,10.0,0
47,53,6.0,8.0,1
49,51,5.0,6.0,1
51,49,8.0,7.0,1
57,43,10.0,2.0,1
60,40,7.0,3.0,1
52,48,9.0,6.0,1
54,46,3.0,0.0,0
45,55,3.0,6.0,0
48,52,4.0,2.0,1
49,51,3.0,4.0,1
50,50,6.0,5.0,1
48,52,8.0,3.0,0
51,49,10.0,2.0,-1
57,43,7.0,7.0,1
56,44,3.0,2.0,0
54,46,7.0,7.0,1
36,64,4.0,4.0,0
67,33,4.0,4.0,1
59,41,9.0,2.0,1
58,42,5.0,9.0,-1
52,48,6.0,3.0,0
57,43,6.0,4.0,0
42,58,7.0,16.0,0
69,31,8.0,3.0,1
57,43,10.0,4.0,1
37,63,2.0,8.0,-1
55,45,9.0,9.0,1
45,55,0.0,3.0,1
47,53,8.0,7.0,1
35,65,6.0,7.0,-1
36,64,2.0,10.0,1
56,44,6.0,3.0,-1
53,47,11.0,3.0,1
57,43,10.0,4.0,-1
49,51,4.0,4.0,-1
55,45,9.0,2.0,1
51,49,8.0,7.0,-1
49,51,5.0,6.0,-1
58,42,11.0,9.0,1
57,43,11.0,3.0,1
56,44,4.0,5.0,0
55,45,7.0,8.0,0
49,51,5.0,8.0,-1
65,35,9.0,5.0,1
57,43,6.0,9.0,-1
60,40,8.0,0.0,-1
58,42,2.0,2.0,1
53,47,5.0,8.0,1
45,55,4.0,11.0,0
48,52,8.0,9.0,1
51,49,4.0,3.0,0
53,47,4.0,6.0,1
33,67,5.0,13.0,0
52,48,5.0,5.0,0
51,49,6.0,4.0,-1
49,51,3.0,4.0,0
,,17.0,2.0,0
44,56,6.0,12.0,-1
61,39,10.0,8.0,1
51,49,5.0,5.0,1
65,35,9.0,2.0,1
45,55,5.0,3.0,-1
45,55,3.0,9.0,1
56,44,5.0,2.0,0
50,50,4.0,3.0,0
49,51,5.0,5.0,1
,,3.0,4.0,0
47,53,8.0,6.0,0
58,42,10.0,4.0,1
46,54,7.0,2.0,1
55,45,4.0,3.0,1
57,43,11.0,2.0,1
51,49,2.0,4.0,1
51,49,1.0,11.0,0
51,49,3.0,3.0,0
48,52,3.0,4.0,-1
52,48,4.0,3.0,0
58,42,5.0,4.0,1
57,43,13.0,4.0,1
48,52,3.0,4.0,0
,,11.0,5.0,-1
47,53,4.0,5.0,-1
55,45,2.0,3.0,-1
51,49,7.0,10.0,0
60,40,7.0,5.0,1
55,45,3.0,4.0,1
53,47,8.0,6.0,0
58,42,13.0,3.0,0
50,50,1.0,10.0,1
45,55,2.0,7.0,1
50,50,11.0,3.0,0
52,48,3.0,7.0,1
54,46,4.0,5.0,1
55,45,9.0,6.0,1
49,51,4.0,6.0,1
50,50,9.0,2.0,1
,,7.0,6.0,1
57,43,6.0,4.0,1
56,44,8.0,7.0,0
48,52,7.0,3.0,0
55,45,8.0,3.0,1
43,57,4.0,7.0,0
30,70,4.0,8.0,1
53,47,2.0,5.0,1
52,48,5.0,7.0,1
54,46,5.0,3.0,-1
53,47,8.0,3.0,1
60,40,4.0,8.0,1
51,49,4.0,2.0,1
64,36,11.0,4.0,1
48,52,6.0,9.0,-1
42,58,8.0,1.0,-1
49,51,3.0,1.0,0
52,48,4.0,5.0,1
49,51,5.0,1.0,0
35,65,7.0,4.0,1
41,59,4.0,10.0,-1
60,40,8.0,8.0,1
45,55,0.0,5.0,1
46,54,5.0,4.0,-1
51,49,15.0,4.0,-1
,,4.0,5.0,1
49,51,6.0,2.0,-1
53,47,8.0,4.0,1
50,50,5.0,3.0,1
56,44,9.0,6.0,-1
52,48,9.0,7.0,-1
39,61,3.0,6.0,-1
52,48,6.0,2.0,1
50,50,2.0,2.0,1
49,51,7.0,3.0,0
65,35,11.0,4.0,1
43,57,7.0,4.0,-1
53,47,4.0,2.0,-1
58,42,15.0,5.0,1
48,52,15.0,3.0,-1
53,47,4.0,7.0,1
51,49,8.0,9.0,-1
63,37,11.0,4.0,1
40,60,1.0,5.0,-1
49,51,5.0,2.0,0
43,57,3.0,12.0,1
39,61,5.0,11.0,1
48,52,7.0,9.0,-1
51,49,4.0,8.0,1
49,51,8.0,13.0,0
41,59,5.0,4.0,0
68,32,16.0,5.0,1
60,40,8.0,2.0,1
40,60,2.0,7.0,-1
53,47,4.0,6.0,0
48,52,4.0,6.0,1
63,37,11.0,4.0,-1
59,41,12.0,3.0,1
53,47,11.0,6.0,1
53,47,7.0,11.0,1
53,47,4.0,4.0,1
54,46,8.0,4.0,0
43,57,2.0,8.0,0
56,44,5.0,1.0,1
65,35,11.0,4.0,1
49,51,4.0,5.0,-1
60,40,4.0,1.0,1
45,55,4.0,7.0,-1
51,49,15.0,2.0,1
50,50,6.0,4.0,1
55,45,7.0,4.0,1
45,55,12.0,4.0,-1
53,47,12.0,6.0,-1
48,52,2.0,12.0,0
47,53,3.0,8.0,1
50,50,5.0,2.0,1
49,51,1.0,5.0,-1
46,54,3.0,8.0,0
52,48,10.0,9.0,1
51,49,2.0,3.0,1
47,53,4.0,8.0,0
56,44,3.0,3.0,-1
56,44,3.0,7.0,1
53,47,4.0,3.0,0
29,71,7.0,5.0,-1
45,55,6.0,8.0,-1
49,51,3.0,10.0,0
61,39,12.0,4.0,1
50,50,7.0,4.0,1
45,55,7.0,4.0,0
56,44,11.0,2.0,0
37,63,9.0,10.0,1
59,41,6.0,2.0,1
61,39,11.0,2.0,0
46,54,4.0,3.0,-1
58,42,9.0,4.0,1
44,56,7.0,7.0,0
49,51,4.0,7.0,0
46,54,10.0,7.0,1
57,43,12.0,8.0,1
58,42,7.0,2.0,1
56,44,4.0,5.0,-1
45,55,10.0,6.0,-1
65,35,9.0,2.0,1
54,46,2.0,0.0,0
41,59,10.0,2.0,-1
51,49,5.0,4.0,0
47,53,4.0,5.0,-1
,,7.0,4.0,1
,,6.0,3.0,-1
52,48,5.0,6.0,0
48,52,2.0,6.0,1
58,42,7.0,2.0,1
64,36,12.0,2.0,1
48,52,7.0,6.0,-1
54,46,7.0,3.0,0
52,48,7.0,10.0,1
,,4.0,2.0,0
50,50,3.0,1.0,0
58,42,8.0,5.0,1
42,58,5.0,8.0,-1
48,52,4.0,8.0,0
55,45,4.0,11.0,1
50,50,11.0,5.0,1
54,46,4.0,5.0,1
46,54,5.0,4.0,1
57,43,3.0,3.0,1
49,51,2.0,8.0,-1
50,50,4.0,4.0,1
,,11.0,4.0,1
58,42,3.0,3.0,1
52,48,5.0,5.0,1
41,59,4.0,5.0,1
52,48,10.0,2.0,-1
52,48,6.0,1.0,1
55,45,11.0,7.0,1
45,55,6.0,7.0,0
47,53,8.0,5.0,0
47,53,6.0,4.0,1
55,45,15.0,4.0,1
56,44,1.0,2.0,1
56,44,14.0,5.0,1
54,46,14.0,2.0,0
54,46,8.0,4.0,0
37,63,3.0,13.0,-1
42,58,7.0,7.0,-1
49,51,5.0,6.0,1
64,36,17.0,2.0,1
59,41,11.0,4.0,1
55,45,4.0,5.0,1
49,51,7.0,12.0,-1
42,58,3.0,7.0,1
58,42,4.0,3.0,1
55,45,10.0,9.0,1
55,45,7.0,4.0,-1
52,48,8.0,6.0,-1
38,62,1.0,14.0,-1
51,49,6.0,6.0,1
60,40,8.0,3.0,1
70,30,10.0,5.0,1
48,52,4.0,10.0,-1
52,48,5.0,12.0,1
51,49,9.0,6.0,1
51,49,3.0,5.0,1
48,52,5.0,6.0,0
45,55,8.0,8.0,-1
50,50,1.0,4.0,1
55,45,13.0,3.0,1
54,46,5.0,3.0,1
53,47,9.0,8.0,1
51,49,8.0,6.0,1
55,45,7.0,13.0,1
41,59,1.0,5.0,-1
45,55,12.0,8.0,-1
50,50,9.0,6.0,1
45,55,11.0,3.0,-1
52,48,9.0,3.0,1
49,51,5.0,4.0,-1
54,46,13.0,1.0,0
58,42,5.0,5.0,-1
65,35,11.0,6.0,0
52,48,15.0,4.0,0
49,51,9.0,7.0,1
55,45,10.0,5.0,1
53,47,10.0,7.0,0
50,50,4.0,4.0,1
50,50,6.0,7.0,0
63,37,12.0,4.0,1
50,50,3.0,10.0,1
52,48,8.0,10.0,1
63,37,12.0,4.0,1
51,49,4.0,9.0,0
52,48,4.0,3.0,1
43,57,2.0,13.0,1
51,49,6.0,7.0,1
59,41,8.0,4.0,0
55,45,9.0,3.0,-1
61,39,12.0,1.0,1
60,40,8.0,3.0,1
42,58,3.0,8.0,1
,,9.0,6.0,0
58,42,7.0,3.0,1
,,3.0,8.0,0
,,7.0,4.0,1
50,50,2.0,3.0,0
,,5.0,6.0,0
53,47,8.0,3.0,1
56,44,7.0,4.0,-1
48,52,8.0,6.0,1
54,46,18.0,5.0,1
56,44,3.0,7.0,0
,,6.0,0.0,1
,,11.0,6.0,1
57,43,2.0,4.0,1
41,59,6.0,5.0,-1
,,6.0,3.0,1
,,9.0,4.0,-1
57,43,7.0,5.0,1
,,8.0,3.0,1
49,51,6.0,2.0,-1
34,66,4.0,6.0,1
,,2.0,3.0,1
,,2.0,8.0,1
52,48,9.0,8.0,0
54,46,5.0,9.0,0
,,3.0,1.0,1
45,55,4.0,5.0,-1
,,3.0,6.0,0
,,14.0,4.0,0
52,48,3.0,8.0,0
,,9.0,5.0,-1
45,55,6.0,8.0,1
55,45,10.0,1.0,0
41,59,6.0,3.0,1
63,37,9.0,3.0,0
,,2.0,1.0,-1
,,3.0,8.0,0
,,9.0,4.0,1
,,10.0,13.0,1
,,7.0,4.0,0
,,5.0,6.0,0
47,53,13.0,5.0,-1
65,35,8.0,8.0,0
,,15.0,5.0,0
58,42,7.0,8.0,-1
64,36,5.0,6.0,1
55,45,3.0,8.0,1
47,53,5.0,3.0,-1
,,7.0,4.0,1
53,47,6.0,5.0,-1
62,38,9.0,3.0,1
