Reading data from cleanedMatchTeamData.csv
Loading data...
Dataset size: 23002, Train DL size: 18402, Test DL size: 4600
Finished loading data!
Training model...
Epoch [1/50000], Loss: 1.1040, Train error: 0.7258, Dev error: 0.7235
Epoch [2/50000], Loss: 1.0996, Train error: 0.5427, Dev error: 0.5361
Epoch [3/50000], Loss: 1.0955, Train error: 0.5427, Dev error: 0.5361
Epoch [4/50000], Loss: 1.0918, Train error: 0.5427, Dev error: 0.5361
Epoch [5/50000], Loss: 1.0884, Train error: 0.5427, Dev error: 0.5361
Epoch [6/50000], Loss: 1.0852, Train error: 0.5427, Dev error: 0.5361
Epoch [7/50000], Loss: 1.0823, Train error: 0.5427, Dev error: 0.5361
Epoch [8/50000], Loss: 1.0794, Train error: 0.5427, Dev error: 0.5361
Epoch [9/50000], Loss: 1.0767, Train error: 0.5427, Dev error: 0.5361
Epoch [10/50000], Loss: 1.0741, Train error: 0.5427, Dev error: 0.5361
Epoch [11/50000], Loss: 1.0715, Train error: 0.5427, Dev error: 0.5361
Epoch [12/50000], Loss: 1.0690, Train error: 0.5427, Dev error: 0.5361
Epoch [13/50000], Loss: 1.0664, Train error: 0.5427, Dev error: 0.5361
Epoch [14/50000], Loss: 1.0638, Train error: 0.5427, Dev error: 0.5361
Epoch [15/50000], Loss: 1.0612, Train error: 0.5427, Dev error: 0.5361
Epoch [16/50000], Loss: 1.0586, Train error: 0.5427, Dev error: 0.5361
Epoch [17/50000], Loss: 1.0559, Train error: 0.5427, Dev error: 0.5361
Epoch [18/50000], Loss: 1.0533, Train error: 0.5427, Dev error: 0.5361
Epoch [19/50000], Loss: 1.0508, Train error: 0.5427, Dev error: 0.5361
Epoch [20/50000], Loss: 1.0485, Train error: 0.5427, Dev error: 0.5361
Epoch [21/50000], Loss: 1.0462, Train error: 0.5427, Dev error: 0.5361
Epoch [22/50000], Loss: 1.0441, Train error: 0.5427, Dev error: 0.5361
Epoch [23/50000], Loss: 1.0421, Train error: 0.5427, Dev error: 0.5361
Epoch [24/50000], Loss: 1.0403, Train error: 0.5427, Dev error: 0.5361
Epoch [25/50000], Loss: 1.0386, Train error: 0.5427, Dev error: 0.5361
Epoch [26/50000], Loss: 1.0370, Train error: 0.5427, Dev error: 0.5361
Epoch [27/50000], Loss: 1.0355, Train error: 0.5427, Dev error: 0.5361
Epoch [28/50000], Loss: 1.0340, Train error: 0.5427, Dev error: 0.5361
Epoch [29/50000], Loss: 1.0327, Train error: 0.5427, Dev error: 0.5361
Epoch [30/50000], Loss: 1.0313, Train error: 0.5427, Dev error: 0.5361
Epoch [31/50000], Loss: 1.0301, Train error: 0.5427, Dev error: 0.5361
Epoch [32/50000], Loss: 1.0289, Train error: 0.5427, Dev error: 0.5361
Epoch [33/50000], Loss: 1.0278, Train error: 0.5427, Dev error: 0.5361
Epoch [34/50000], Loss: 1.0267, Train error: 0.5427, Dev error: 0.5361
Epoch [35/50000], Loss: 1.0257, Train error: 0.5427, Dev error: 0.5361
Epoch [36/50000], Loss: 1.0247, Train error: 0.5427, Dev error: 0.5361
Epoch [37/50000], Loss: 1.0237, Train error: 0.5424, Dev error: 0.5352
Epoch [38/50000], Loss: 1.0228, Train error: 0.5362, Dev error: 0.5296
Epoch [39/50000], Loss: 1.0218, Train error: 0.5210, Dev error: 0.5143
Epoch [40/50000], Loss: 1.0209, Train error: 0.5051, Dev error: 0.5022
Epoch [41/50000], Loss: 1.0200, Train error: 0.4956, Dev error: 0.4920
Epoch [42/50000], Loss: 1.0192, Train error: 0.4893, Dev error: 0.4904
Epoch [43/50000], Loss: 1.0183, Train error: 0.4856, Dev error: 0.4878
Epoch [44/50000], Loss: 1.0174, Train error: 0.4825, Dev error: 0.4878
Epoch [45/50000], Loss: 1.0166, Train error: 0.4815, Dev error: 0.4850
Epoch [46/50000], Loss: 1.0157, Train error: 0.4803, Dev error: 0.4833
Epoch [47/50000], Loss: 1.0149, Train error: 0.4792, Dev error: 0.4815
Epoch [48/50000], Loss: 1.0140, Train error: 0.4779, Dev error: 0.4776
Epoch [49/50000], Loss: 1.0131, Train error: 0.4785, Dev error: 0.4752
Epoch [50/50000], Loss: 1.0123, Train error: 0.4775, Dev error: 0.4724
Epoch [51/50000], Loss: 1.0114, Train error: 0.4767, Dev error: 0.4709
Epoch [52/50000], Loss: 1.0106, Train error: 0.4752, Dev error: 0.4715
Epoch [53/50000], Loss: 1.0098, Train error: 0.4752, Dev error: 0.4700
Epoch [54/50000], Loss: 1.0090, Train error: 0.4748, Dev error: 0.4691
Epoch [55/50000], Loss: 1.0082, Train error: 0.4742, Dev error: 0.4700
Epoch [56/50000], Loss: 1.0075, Train error: 0.4731, Dev error: 0.4693
Epoch [57/50000], Loss: 1.0067, Train error: 0.4729, Dev error: 0.4693
Epoch [58/50000], Loss: 1.0060, Train error: 0.4732, Dev error: 0.4680
Epoch [59/50000], Loss: 1.0054, Train error: 0.4736, Dev error: 0.4670
Epoch [60/50000], Loss: 1.0048, Train error: 0.4727, Dev error: 0.4676
Epoch [61/50000], Loss: 1.0042, Train error: 0.4727, Dev error: 0.4665
Epoch [62/50000], Loss: 1.0037, Train error: 0.4729, Dev error: 0.4665
Epoch [63/50000], Loss: 1.0032, Train error: 0.4720, Dev error: 0.4674
Epoch [64/50000], Loss: 1.0027, Train error: 0.4720, Dev error: 0.4670
Epoch [65/50000], Loss: 1.0023, Train error: 0.4723, Dev error: 0.4667
Epoch [66/50000], Loss: 1.0019, Train error: 0.4722, Dev error: 0.4670
Epoch [67/50000], Loss: 1.0015, Train error: 0.4718, Dev error: 0.4667
Epoch [68/50000], Loss: 1.0011, Train error: 0.4717, Dev error: 0.4667
Epoch [69/50000], Loss: 1.0008, Train error: 0.4717, Dev error: 0.4670
Epoch [70/50000], Loss: 1.0005, Train error: 0.4716, Dev error: 0.4674
Epoch [71/50000], Loss: 1.0003, Train error: 0.4713, Dev error: 0.4674
Epoch [72/50000], Loss: 1.0000, Train error: 0.4712, Dev error: 0.4676
Epoch [73/50000], Loss: 0.9998, Train error: 0.4711, Dev error: 0.4680
Epoch [74/50000], Loss: 0.9996, Train error: 0.4710, Dev error: 0.4672
Epoch [75/50000], Loss: 0.9994, Train error: 0.4711, Dev error: 0.4674
Epoch [76/50000], Loss: 0.9992, Train error: 0.4707, Dev error: 0.4676
Epoch [77/50000], Loss: 0.9990, Train error: 0.4706, Dev error: 0.4676
Epoch [78/50000], Loss: 0.9988, Train error: 0.4705, Dev error: 0.4676
Epoch [79/50000], Loss: 0.9987, Train error: 0.4703, Dev error: 0.4676
Epoch [80/50000], Loss: 0.9985, Train error: 0.4698, Dev error: 0.4674
Epoch [81/50000], Loss: 0.9984, Train error: 0.4696, Dev error: 0.4672
Epoch [82/50000], Loss: 0.9982, Train error: 0.4696, Dev error: 0.4672
Epoch [83/50000], Loss: 0.9981, Train error: 0.4696, Dev error: 0.4670
Epoch [84/50000], Loss: 0.9980, Train error: 0.4692, Dev error: 0.4663
Epoch [85/50000], Loss: 0.9979, Train error: 0.4694, Dev error: 0.4665
Epoch [86/50000], Loss: 0.9977, Train error: 0.4692, Dev error: 0.4663
Epoch [87/50000], Loss: 0.9976, Train error: 0.4692, Dev error: 0.4665
Epoch [88/50000], Loss: 0.9975, Train error: 0.4691, Dev error: 0.4665
Epoch [89/50000], Loss: 0.9974, Train error: 0.4689, Dev error: 0.4663
Epoch [90/50000], Loss: 0.9973, Train error: 0.4689, Dev error: 0.4665
Epoch [91/50000], Loss: 0.9972, Train error: 0.4688, Dev error: 0.4663
Epoch [92/50000], Loss: 0.9971, Train error: 0.4689, Dev error: 0.4661
Epoch [93/50000], Loss: 0.9970, Train error: 0.4685, Dev error: 0.4665
Epoch [94/50000], Loss: 0.9970, Train error: 0.4684, Dev error: 0.4663
Epoch [95/50000], Loss: 0.9969, Train error: 0.4686, Dev error: 0.4665
Epoch [96/50000], Loss: 0.9968, Train error: 0.4685, Dev error: 0.4661
Epoch [97/50000], Loss: 0.9967, Train error: 0.4686, Dev error: 0.4667
Epoch [98/50000], Loss: 0.9966, Train error: 0.4686, Dev error: 0.4667
Epoch [99/50000], Loss: 0.9965, Train error: 0.4687, Dev error: 0.4661
Epoch [100/50000], Loss: 0.9965, Train error: 0.4686, Dev error: 0.4661
Epoch [101/50000], Loss: 0.9964, Train error: 0.4687, Dev error: 0.4657
Epoch [102/50000], Loss: 0.9963, Train error: 0.4687, Dev error: 0.4654
Epoch [103/50000], Loss: 0.9962, Train error: 0.4686, Dev error: 0.4659
Epoch [104/50000], Loss: 0.9962, Train error: 0.4685, Dev error: 0.4659
Epoch [105/50000], Loss: 0.9961, Train error: 0.4683, Dev error: 0.4661
Epoch [106/50000], Loss: 0.9960, Train error: 0.4683, Dev error: 0.4663
Epoch [107/50000], Loss: 0.9960, Train error: 0.4684, Dev error: 0.4663
Epoch [108/50000], Loss: 0.9959, Train error: 0.4685, Dev error: 0.4661
Epoch [109/50000], Loss: 0.9958, Train error: 0.4686, Dev error: 0.4661
Epoch [110/50000], Loss: 0.9958, Train error: 0.4685, Dev error: 0.4661
Epoch [111/50000], Loss: 0.9957, Train error: 0.4685, Dev error: 0.4661
Epoch [112/50000], Loss: 0.9956, Train error: 0.4684, Dev error: 0.4661
