awayTeamID,_away_head_to_head,homeTeamID,_home_head_to_head,home_previous_match_1_result,away_previous_match_1_result,home_previous_match_2_result,away_previous_match_2_result,home_previous_match_3_result,away_previous_match_3_result,home_previous_match_4_result,away_previous_match_4_result,home_previous_match_5_result,away_previous_match_5_result,result
8534,0,8540,0,,,,,,,,,,,-1
7943,1,8600,1,,,,,,,,,,,0
9885,1,8534,0,,,,,,,,,,,-1
10233,nan,9891,nan,,,,,,,,,,,0
9857,0,9876,0,,,,,,,,,,,-1
8524,2,8564,4,,,,,,,,,,,0
8600,1,9875,3,,,,,,,,,,,1
8533,1,8540,4,,,,,,,,,,,1
8543,0,8686,4,,,,,,,,,,,1
8535,2,9882,3,,,,,,,,,,,-1
208931,nan,7943,nan,,,,,,,,,,,1
8636,2,9804,0,,,,,,,,,,,-1
9804,2,8524,2,,,,,,,,,,,-1
8686,4,9857,0,,,,,,,,,,,0
8533,nan,208931,nan,,,,,,,,,,,-1
8534,0,8535,0,,,,,,,,,,,0
7943,0,10233,1,,,,,,,,,,,1
9875,1,9876,1,,,,,,,,,,,-1
9891,nan,8636,nan,,,,,,,,,,,1
8564,2,9885,5,,,,,,,,,,,1
8540,0,8543,4,,,,,,,,,,,0
9882,2,8600,2,,,,,,,,,,,1
8600,2,8533,1,,,,,,,,,,,-1
8543,0,8534,1,,,,,,,,,,,1
9876,nan,9891,nan,,,,,,,,,,,1
208931,nan,10233,nan,,,,,,,,,,,-1
9882,1,8564,4,,,,,,,,,,,1
8636,0,9875,4,,,,,,,,,,,1
9885,4,8540,2,,,,,,,,,,,-1
8524,0,8686,5,,,,,,,,,,,-1
8535,2,7943,0,,,,,,,,,,,0
9857,1,9804,1,,,,,,,,,,,1
8540,1,8524,2,,,,,,,,,,,1
9875,3,9857,2,,,,,,,,,,,1
8564,nan,208931,nan,,,,,,,,,,,0
8600,0,8535,7,,,,,,,,,,,1
8533,nan,9891,nan,,,,,,,,,,,-1
8534,0,9876,1,,,,,,,,,,,-1
10233,0,8636,4,,,,,,,,,,,1
9885,5,8543,0,,,,,,,,,,,-1
7943,1,9882,0,,,,,,,,,,,-1
8686,2,9804,0,,,,,,,,,,,0
8524,1,8533,1,,,,,,,,,,,1
208931,nan,8534,nan,,,,,,,,,,,1
9857,1,10233,3,,,,,,,,,,,-1
8535,0,9885,5,,,,,,,,,,,1
9882,0,8543,5,,,,,,,,,,,0
9876,0,8564,1,,,,,,,,,,,0
8686,2,9875,4,,,,,,,,,,,0
9891,nan,8540,nan,,,,,,,,,,,1
9804,1,7943,0,,,,,,,,,,,0
8636,5,8600,2,,,,,,,,,,,-1
9875,1,8524,3,,,,,,,,,,,-1
8534,nan,9857,nan,,,,,,,,,,,-1
9885,nan,208931,nan,,,,,,,,,,,-1
8533,1,8535,5,,,,,,,,,,,1
8564,nan,9891,nan,,,,,,,,,,,-1
7943,0,9876,2,,,,,,,,,,,0
8543,1,8636,5,,,,,,,,,,,-1
10233,0,8686,7,,,,,,,,,,,1
8540,3,9882,0,,,,,,,,,,,1
8600,0,9804,3,,,,,,,,,,,-1
8686,3,8533,1,,,,,,,,,,,0
8636,0,8534,0,,,,,,,,,,,-1
9882,2,10233,3,,,,,,,,,,,-1
9876,0,9885,2,,,,,,,,,,,1
208931,nan,8543,nan,,,,,,,,,,,0
9857,1,8564,4,,,,,,,,,,,-1
9804,1,9875,2,,,,,,,,,,,1
8535,4,8540,2,,,,,,,,,,,-1
9891,nan,7943,nan,,,,,,,,,,,0
8524,1,8600,3,,,,,,,,,,,1
10233,3,8524,1,,,,,,,,,,,-1
8533,1,9857,2,,,,,,,,,,,-1
8600,nan,208931,nan,,,,,,,,,,,1
8543,4,8535,2,,,,,,,,,,,-1
9875,nan,9891,nan,,,,,,,,,,,-1
8540,0,9876,1,,,,,,,,,,,-1
7943,0,8636,2,,,,,,,,,,,-1
8564,1,8686,2,,,,,,,,,,,0
9885,2,9882,2,,,,,,,,,,,-1
8534,1,9804,0,,,,,,,,,,,-1
9891,nan,8524,nan,,,,,,,,,,,1
7943,0,9857,0,,,,,,,,,,,-1
8636,nan,208931,nan,,,,,,,,,,,-1
8543,6,8533,0,,,,,,,,,,,1
9876,0,10233,2,,,,,,,,,,,1
8534,0,8564,0,,,,,,,,,,,1
9882,0,9875,5,,,,,,,,,,,0
9885,4,8686,1,,,,,,,,,,,1
8535,1,9804,0,,,,,,,,,,,1
8540,1,8600,4,,,,,,,,,,,-1
8534,0,8533,0,,,,,,,,,,,0
8535,3,8564,3,,,,,,,,,,,1
9891,nan,9804,nan,,,,,,,,,,,1
9876,0,8686,2,,,,,,,,,,,0
8636,1,8524,2,,,,,,,,,,,0
9885,3,8600,2,,,,,,,,,,,-1
8543,2,9857,2,,,,,,,,,,,0
8540,0,10233,3,,,,,,,,,,,1
9882,nan,208931,nan,,,,,,,,,,,1
7943,0,9875,1,,,,,,,,,,,1
8524,nan,9891,nan,,,,,,,,,,,0
9857,0,7943,1,,,,,,,,,,,-1
208931,nan,8636,nan,,,,,,,,,,,0
8533,2,8543,1,,,,,,,,,,,1
10233,0,9876,1,,,,,,,,,,,0
8564,0,8534,0,,,,,,,,,,,0
9875,3,9882,1,,,,,,,,,,,-1
8686,1,9885,5,,,,,,,,,,,1
9804,0,8535,2,,,,,,,,,,,1
8600,2,8540,2,,,,,,,,,,,1
8534,0,9875,0,,,,,,,,,,,1
8535,2,10233,1,,,,,,,,,,,0
9891,nan,8686,nan,,,,,,,,,,,1
9876,1,9804,0,,,,,,,,,,,0
8636,3,8564,3,,,,,,,,,,,1
9885,4,8533,1,,,,,,,,,,,-1
8543,2,8600,3,,,,,,,,,,,0
8540,nan,208931,nan,,,,,,,,,,,0
9882,0,9857,1,,,,,,,,,,,1
7943,1,8524,1,,,,,,,,,,,0
8524,0,9876,2,,,,,,,,,,,1
9857,nan,9891,nan,,,,,,,,,,,1
