Loading data...
Dataset size: 25979, Train DL size: 20784, Test DL size: 5195
Finished loading data!
Training model...
Epoch [81/1000], Loss: 1.0718, Train error: 0.5427, Test error: 0.5367
Epoch [82/1000], Loss: 1.0429, Train error: 0.5427, Test error: 0.5367
Epoch [83/1000], Loss: 1.0361, Train error: 0.5427, Test error: 0.5367
Epoch [84/1000], Loss: 1.1108, Train error: 0.5426, Test error: 0.5367
Epoch [85/1000], Loss: 0.9940, Train error: 0.5426, Test error: 0.5367
Epoch [86/1000], Loss: 1.0684, Train error: 0.5426, Test error: 0.5367
Epoch [87/1000], Loss: 1.0467, Train error: 0.5426, Test error: 0.5367
Epoch [88/1000], Loss: 1.0590, Train error: 0.5426, Test error: 0.5367
Epoch [89/1000], Loss: 0.9990, Train error: 0.5426, Test error: 0.5367
Epoch [90/1000], Loss: 0.9856, Train error: 0.5426, Test error: 0.5367
Epoch [91/1000], Loss: 1.0664, Train error: 0.5426, Test error: 0.5367
Epoch [92/1000], Loss: 1.0198, Train error: 0.5426, Test error: 0.5367
Epoch [93/1000], Loss: 0.9915, Train error: 0.5426, Test error: 0.5367
Epoch [94/1000], Loss: 1.0756, Train error: 0.5426, Test error: 0.5367
Epoch [95/1000], Loss: 1.0853, Train error: 0.5426, Test error: 0.5367
Epoch [96/1000], Loss: 1.0349, Train error: 0.5426, Test error: 0.5367
Epoch [97/1000], Loss: 1.0582, Train error: 0.5426, Test error: 0.5367
Epoch [98/1000], Loss: 1.0780, Train error: 0.5426, Test error: 0.5367
Epoch [99/1000], Loss: 1.0870, Train error: 0.5426, Test error: 0.5367
Epoch [100/1000], Loss: 1.0911, Train error: 0.5426, Test error: 0.5367
Epoch [101/1000], Loss: 1.0049, Train error: 0.5426, Test error: 0.5367
Epoch [102/1000], Loss: 1.0842, Train error: 0.5426, Test error: 0.5367
Epoch [103/1000], Loss: 1.0511, Train error: 0.5426, Test error: 0.5367
Epoch [104/1000], Loss: 1.0672, Train error: 0.5426, Test error: 0.5367
Epoch [105/1000], Loss: 0.9926, Train error: 0.5426, Test error: 0.5367
Epoch [106/1000], Loss: 1.0119, Train error: 0.5426, Test error: 0.5367
Epoch [107/1000], Loss: 1.0967, Train error: 0.5426, Test error: 0.5367
Epoch [108/1000], Loss: 1.0698, Train error: 0.5426, Test error: 0.5367
Epoch [109/1000], Loss: 1.0668, Train error: 0.5426, Test error: 0.5367
Epoch [110/1000], Loss: 1.1141, Train error: 0.5426, Test error: 0.5367
Epoch [111/1000], Loss: 1.0422, Train error: 0.5426, Test error: 0.5367
Epoch [112/1000], Loss: 1.0787, Train error: 0.5426, Test error: 0.5367
Epoch [113/1000], Loss: 1.0118, Train error: 0.5427, Test error: 0.5367
Epoch [114/1000], Loss: 1.0799, Train error: 0.5427, Test error: 0.5367
Epoch [115/1000], Loss: 1.0409, Train error: 0.5427, Test error: 0.5367
Epoch [116/1000], Loss: 1.0856, Train error: 0.5427, Test error: 0.5367
Epoch [117/1000], Loss: 1.1094, Train error: 0.5427, Test error: 0.5367
Epoch [118/1000], Loss: 1.0325, Train error: 0.5427, Test error: 0.5367
Epoch [119/1000], Loss: 1.1000, Train error: 0.5427, Test error: 0.5367
Epoch [120/1000], Loss: 1.0314, Train error: 0.5427, Test error: 0.5367
